"URAU_CODE","agegroup","v11","v21","v31","v41","v51","v22","v32","v42","v52","v33","v43","v53","v44","v54","v55"
"BE001C","45-64",0.0154835585272648,0.0114005297445051,0.012991647239647,0.0131419828543434,0.0196115845434306,0.0101446840519912,0.0109648397308659,0.0109517277707389,0.0155859804732884,0.0124800899941802,0.0120224946639905,0.0176124256322859,0.0140969711436993,0.0164314104472766,0.0415338410729316
"BE001C","65-74",0.0137885546761861,0.0100288791733664,0.0114802479930223,0.0117327951812484,0.0179421704694074,0.00893722248621482,0.00970026569755961,0.00973198312658143,0.0142390599568616,0.0110483106526443,0.0107102082554404,0.016012207732187,0.0126112132026384,0.0154429906019082,0.0378124894312734
"BE001C","75-84",0.0133964311595607,0.00970998435909261,0.0111301744890985,0.0114061510775053,0.0175552267502932,0.00865660634379335,0.00940626454390652,0.00944900776546474,0.0139246049988474,0.0107178641567307,0.0104064094635062,0.0156434012809896,0.0122738711985923,0.0152020175325883,0.0370004970063515
"BE001C","85+",0.0139751034016518,0.0101747648434254,0.0116452202458412,0.0118858216749308,0.0181235193249642,0.00906598800913645,0.00983476118979505,0.00986365381806848,0.0143780980485025,0.0112084091283327,0.0108539485741402,0.016192798117224,0.0127952599494148,0.0155121287216901,0.0383795501797405
"BE002C","20-44",0.0260338917674621,0.0197653386890852,0.0223250152679203,0.0217885119627874,0.0303836502304564,0.0175342788953269,0.0187602204515509,0.0184242581992871,0.0242022384783336,0.0214176472047716,0.0201235985310746,0.0279958977412998,0.0234816901491681,0.0223350561520963,0.0687966381596967
"BE002C","45-64",0.0201231980894307,0.0149822929815486,0.0170505532896209,0.0168748079715968,0.0245270514387712,0.0133213629117528,0.0143458030823218,0.0141677611599237,0.0194794663502268,0.0164142435272096,0.0155440044337925,0.022375027239138,0.0182892959730454,0.0188663253138372,0.0557042250680315
"BE002C","65-74",0.0185339331269607,0.0136932405489144,0.0156303099431644,0.0155524833035892,0.0229401190899204,0.0121854274807775,0.0131546383195872,0.0130207994324626,0.0181961938271978,0.0150671660491008,0.0143111663439793,0.0208538355796952,0.0169018547820401,0.017903373089265,0.0522418816290576
"BE002C","75-84",0.0182186344374597,0.0134341285043039,0.0153462324526482,0.0152888684559004,0.0226115004300214,0.0119564904425879,0.0129135594820032,0.0127904555679998,0.0179264613536007,0.0147979244541733,0.0140649113846671,0.0205409207855354,0.0166364012754533,0.0176781553123008,0.0516203672848763
"BE002C","85+",0.0188659318439939,0.013951884404295,0.0159197090776951,0.0158246957948286,0.0232281570067257,0.0124114469756687,0.0133884584900378,0.0132515848481757,0.0184165144145228,0.015342291115081,0.014563443517536,0.0211365347603929,0.0172226186550376,0.0179967397966943,0.0531714196886465
"BE003C","20-44",0.0263019164373585,0.0199742531026165,0.0225626961219464,0.0220118569734317,0.0306888821245888,0.0177151220662942,0.0189534213896378,0.0186162487539853,0.024452559770817,0.0216402672515643,0.0203317379901409,0.0282861775838463,0.0237230304748042,0.022546109148837,0.0694240587441472
"BE003C","45-64",0.0199772383705128,0.0148565715107328,0.0169188841629761,0.0167540617284636,0.024423687778539,0.0132072691536385,0.0142302250008557,0.0140617277846659,0.0194008600523725,0.0162858464907818,0.0154310561688908,0.0222720285271434,0.0181652241346158,0.0188375158775966,0.0554088674840602
"BE003C","65-74",0.0183648835401113,0.0135489845531321,0.0154780411351461,0.015412557604888,0.0228145431336503,0.0120548959312293,0.0130219655933096,0.0128981509362942,0.0180999233023747,0.0149188764106871,0.014180120404651,0.0207289329861311,0.0167566973675312,0.0178621837060172,0.0518932051135561
